fvalue	x	y	z
-3.12757227524e-10	1.025	-0.00625	-0.00625
-3.25902268135e-10	1.0375	-0.00625	-0.00625
-3.43784260319e-10	1.05	-0.00625	-0.00625
-3.59060929137e-10	1.0625	-0.00625	-0.00625
-3.72916512485e-10	1.075	-0.00625	-0.00625
-3.87719486146e-10	1.0875	-0.00625	-0.00625
-4.08680496851e-10	1.1	-0.00625	-0.00625
-4.29523083767e-10	1.1125	-0.00625	-0.00625
-4.46220838057e-10	1.125	-0.00625	-0.00625
-4.67181848762e-10	1.1375	-0.00625	-0.00625
-4.95248286825e-10	1.15	-0.00625	-0.00625
-5.1620929753e-10	1.1625	-0.00625	-0.00625
-5.40486174335e-10	1.175	-0.00625	-0.00625
-5.7648700628e-10	1.1875	-0.00625	-0.00625
-5.99698068982e-10	1.2	-0.00625	-0.00625
-6.28593473569e-10	1.2125	-0.00625	-0.00625
-6.59857353943e-10	1.225	-0.00625	-0.00625
-6.88515910952e-10	1.2375	-0.00625	-0.00625
-7.28187880365e-10	1.25	-0.00625	-0.00625
-7.62175507892e-10	1.2625	-0.00625	-0.00625
-8.03860681723e-10	1.275	-0.00625	-0.00625
-8.46137974501e-10	1.2875	-0.00625	-0.00625
-8.87704724543e-10	1.3	-0.00625	-0.00625
-9.32587340685e-10	1.3125	-0.00625	-0.00625
-9.95351949011e-10	1.325	-0.00625	-0.00625
-1.04935319693e-09	1.3375	-0.00625	-0.00625
-1.1050123779e-09	1.35	-0.00625	-0.00625
-1.1558161835e-09	1.3625	-0.00625	-0.00625
-1.22343616719e-09	1.375	-0.00625	-0.00625
-1.28916137025e-09	1.3875	-0.00625	-0.00625
-1.36850530907e-09	1.4	-0.00625	-0.00625
-1.44062539675e-09	1.4125	-0.00625	-0.00625
-1.52956166251e-09	1.425	-0.00625	-0.00625
-1.60866875376e-09	1.4375	-0.00625	-0.00625
-1.7088552795e-09	1.45	-0.00625	-0.00625
-1.80027844484e-09	1.4625	-0.00625	-0.00625
-1.90780724552e-09	1.475	-0.00625	-0.00625
-2.02433625418e-09	1.4875	-0.00625	-0.00625
-2.1502207422e-09	1.5	-0.00625	-0.00625
-2.27480256854e-09	1.5125	-0.00625	-0.00625
-2.41477948748e-09	1.525	-0.00625	-0.00625
-2.56150656242e-09	1.5375	-0.00625	-0.00625
-2.72374715375e-09	1.55	-0.00625	-0.00625
-2.89546164822e-09	1.5625	-0.00625	-0.00625
-3.07653162205e-09	1.575	-0.00625	-0.00625
-3.26447017566e-09	1.5875	-0.00625	-0.00625
-3.46744855051e-09	1.6	-0.00625	-0.00625
-3.71069101372e-09	1.6125	-0.00625	-0.00625
-3.94019631737e-09	1.625	-0.00625	-0.00625
-4.21138679485e-09	1.6375	-0.00625	-0.00625
-4.48091933928e-09	1.65	-0.00625	-0.00625
-4.79237390512e-09	1.6625	-0.00625	-0.00625
-5.10951281285e-09	1.675	-0.00625	-0.00625
-5.46277097631e-09	1.6875	-0.00625	-0.00625
-5.83829281216e-09	1.7	-0.00625	-0.00625
-6.25396031258e-09	1.7125	-0.00625	-0.00625
-6.6873913814e-09	1.725	-0.00625	-0.00625
-7.17032359413e-09	1.7375	-0.00625	-0.00625
-7.68866451987e-09	1.75	-0.00625	-0.00625
-8.24987485733e-09	1.7625	-0.00625	-0.00625
-8.8652048665e-09	1.775	-0.00625	-0.00625
-9.52411483013e-09	1.7875	-0.00625	-0.00625
-1.0241881417e-08	1.8	-0.00625	-0.00625
-1.10130571329e-08	1.8125	-0.00625	-0.00625
-1.18582477171e-08	1.825	-0.00625	-0.00625
-1.278621653e-08	1.8375	-0.00625	-0.00625
-1.37864238544e-08	1.85	-0.00625	-0.00625
-1.48827912957e-08	1.8625	-0.00625	-0.00625
-1.60798189578e-08	1.875	-0.00625	-0.00625
-1.73945598666e-08	1.8875	-0.00625	-0.00625
-1.88208559848e-08	1.9	-0.00625	-0.00625
-2.03925765163e-08	1.9125	-0.00625	-0.00625
-2.21145768364e-08	1.925	-0.00625	-0.00625
-2.40016599188e-08	1.9375	-0.00625	-0.00625
-2.60705235178e-08	1.95	-0.00625	-0.00625
-2.83549184132e-08	1.9625	-0.00625	-0.00625
-3.08769898538e-08	1.975	-0.00625	-0.00625
-3.36346062113e-08	1.9875	-0.00625	-0.00625
-3.67007165399e-08	2.0	-0.00625	-0.00625
-4.0077334044e-08	2.0125	-0.00625	-0.00625
-4.38191705143e-08	2.025	-0.00625	-0.00625
-4.79694506339e-08	2.0375	-0.00625	-0.00625
