 1.0382332217338858804 0.0013138614708468389 -9.5000000000000000000 -8.5000000000000000000 -2.5000000000000000000 -0.0000004286744691849	 1.0382332217338858804 0.0013138614708468328 -9.5000000000000000000 -8.5000000000000000000 -2.5000000000000000000 -0.0000004286744691849
 1.0387327984715493123 0.0013317808631283085 -9.5000000000000000000 -8.5000000000000000000 -1.5000000000000000000 -0.0000004756497892629	 1.0387327984715493123 0.0013317808631283026 -9.5000000000000000000 -8.5000000000000000000 -1.5000000000000000000 -0.0000004756497892629
 1.0389906389685603649 0.0013410474310714617 -9.5000000000000000000 -8.5000000000000000000 -0.5000000000000000000 -0.0000005016297701192	 1.0389906389685605870 0.0013410474310714552 -9.5000000000000000000 -8.5000000000000000000 -0.5000000000000000000 -0.0000005016297701192
 1.0389906389685603649 0.0013410474310714617 -9.5000000000000000000 -8.5000000000000000000 0.5000000000000000000 -0.0000005016297701192	 1.0389906389685605870 0.0013410474310714552 -9.5000000000000000000 -8.5000000000000000000 0.5000000000000000000 -0.0000005016297701192
 1.0387327984715493123 0.0013317808631283085 -9.5000000000000000000 -8.5000000000000000000 1.5000000000000000000 -0.0000004756497892629	 1.0387327984715493123 0.0013317808631283026 -9.5000000000000000000 -8.5000000000000000000 1.5000000000000000000 -0.0000004756497892629
 1.0382332217338858804 0.0013138614708468389 -9.5000000000000000000 -8.5000000000000000000 2.5000000000000000000 -0.0000004286744691849	 1.0382332217338858804 0.0013138614708468328 -9.5000000000000000000 -8.5000000000000000000 2.5000000000000000000 -0.0000004286744691849
 1.0375212921026848445 0.0012884017916926179 -9.5000000000000000000 -8.5000000000000000000 3.5000000000000000000 -0.0000003688267587595	 1.0375212921026848445 0.0012884017916926119 -9.5000000000000000000 -8.5000000000000000000 3.5000000000000000000 -0.0000003688267587595
 1.0366349723427565888 0.0012568247654973128 -9.5000000000000000000 -8.5000000000000000000 4.5000000000000000000 -0.0000003047351645983	 1.0366349723427568108 0.0012568247654973061 -9.5000000000000000000 -8.5000000000000000000 4.5000000000000000000 -0.0000003047351645983
 1.0356156266710487834 0.0012206610139902485 -9.5000000000000000000 -8.5000000000000000000 5.5000000000000000000 -0.0000002433988294988	 1.0356156266710487834 0.0012206610139902422 -9.5000000000000000000 -8.5000000000000000000 5.5000000000000000000 -0.0000002433988294988
 1.0345035727944931203 0.0011813804060218538 -9.5000000000000000000 -8.5000000000000000000 6.5000000000000000000 -0.0000001892216261876	 1.0345035727944931203 0.0011813804060218482 -9.5000000000000000000 -8.5000000000000000000 6.5000000000000000000 -0.0000001892216261876
 1.0333350108984449278 0.0011402813821040799 -9.5000000000000000000 -8.5000000000000000000 7.5000000000000000000 -0.0000001441128122391	 1.0333350108984449278 0.0011402813821040744 -9.5000000000000000000 -8.5000000000000000000 7.5000000000000000000 -0.0000001441128122391
 1.0321404073182678385 0.0010984379717900701 -9.5000000000000000000 -8.5000000000000000000 8.5000000000000000000 -0.0000001081595429607	 1.0321404073182676164 0.0010984379717900643 -9.5000000000000000000 -8.5000000000000000000 8.5000000000000000000 -0.0000001081595429607
 1.0309440531671674179 0.0010566910154537995 -9.5000000000000000000 -8.5000000000000000000 9.5000000000000000000 -0.0000000804020209400	 1.0309440531671674179 0.0010566910154537941 -9.5000000000000000000 -8.5000000000000000000 9.5000000000000000000 -0.0000000804020209400
